LSAT,UGPA,Class,CivPro,LP1,LP2,OneLCUM,FGPA,Accom,Probation,LegalAnalysis,AdvLegalPerf,AdvLegalAnalysis,BarPrep,PctBarPrepComplete ,NumPrepWorkshops,StudentSuccessInitiative,BarPrepMentor,MPRE,MPT,MEE,MBE,UBE,PASS
153,3.01,2018,B,A,B+,3.068,3.616,Y,N,N,N,N,Barbri,0.98,3,N,Y,111,4,3.5,140.8,289,1
162,3.45,2018,A,A,A,3.793,3.814,N,N,N,N,N,Barbri,1,5,N,N,99,4.5,4.3333,161.9,327.6,1
152,3.34,2018,C+,B,B,2.517,2.67,N,N,N,N,Y,Barbri,NA,1,Y,N,88,2.5,3.6667,134.7,270.2,1
151,3.36,2018,C+,C+,C+,2.379,3.038,N,Y,Y,N,Y,Themis,0.8,5,N,N,94,3.5,3.6667,126.7,272.3,1
159,2.27,2018,B,C+,D+,2.5,2.945,N,Y,Y,N,N,Barbri,0.93,4,Y,N,105,3.5,2.8333,152.3,285.4,1
156,3.28,2018,B+,A,B+,3.086,3.393,N,N,N,N,Y,Themis,0.81,2,N,Y,100,4,3.1667,147.9,290.9,1
148,3.79,2018,B+,B+,B+,3.142,3.545,N,N,N,N,Y,Barbri,1,5,N,N,113,5,4.1667,145.7,314,1
147,3.98,2018,B,B+,B+,3.344,3.758,N,N,N,N,N,Themis,0.85,0,N,N,105,4,4.5,156.2,319.5,1
157,3.68,2018,B,B,B+,2.892,3.162,N,N,N,N,N,Themis,0.75,0,Y,N,92,4.5,3.5,126.7,279.9,1
161,3.92,2018,C+,C+,C,2.448,2.914,N,N,N,N,Y,Themis,1,3,N,N,87,3.5,3.1667,134,272,1
160,3.36,2018,B+,B,D,2.62,3.15,Y,Y,N,N,Y,Themis,1,5,Y,Y,94,4.5,4.1667,153.1,316.4,1
152,3.89,2018,B,C+,C+,2.793,3.177,N,N,N,N,Y,Themis,0.73,0,N,N,89,2.5,3.3333,140.8,271.3,1
152,3.58,2018,B+,B,B+,2.982,3.439,N,N,N,N,Y,Barbri,1,5,N,Y,85,4,4.5,150.1,313.4,1
153,3.46,2018,A,B+,C+,3.379,3.34,N,N,N,Y,N,Themis,0.88,0,N,N,99,4,3.8333,143.6,296.8,1
154,3.48,2018,B,B,B,2.81,3.183,N,N,N,N,N,Barbri,1,4,Y,N,85,4,4.6667,158.6,324.3,1
157,2.93,2018,A,C+,B,3.172,3.476,Y,N,N,N,N,Barbri,0.87,2,N,Y,95,5,3.1667,139.4,292.6,1
153,3.64,2018,B,B,B,2.948,3.35,Y,N,N,N,Y,Themis,0.8,0,N,N,NA,4,3.5,149.3,297.5,1
159,3.54,2018,C+,B,B+,3.107,3.13,N,N,N,N,Y,Barbri,0.83,2,N,N,89,3.5,3.1667,136.7,274.7,1
153,3.37,2018,B+,C+,C+,2.758,2.987,N,N,N,N,Y,Barbri,0.94,1,Y,N,79,4,3.3333,130.7,276.3,1
153,3.54,2018,B,B,B,2.785,3.216,N,N,N,N,Y,Themis,0.93,3,N,Y,85,4,4,155.4,311.1,1
154,3.74,2018,B+,A,B,3.775,3.783,N,N,N,N,N,Themis,0.9,5,N,N,99,4.5,3.5,161.9,315.1,1
156,2.99,2018,B,B,B,2.81,3.054,N,N,N,Y,Y,Barbri,0.74,0,Y,N,NA,5,3.6667,141.5,302.2,1
156,3.92,2018,A,A,A,4,3.932,N,N,N,N,Y,Barbri,1,2,N,Y,108,3,4,164.5,310.1,1
155,2.84,2018,B,B,C,2.62,2.961,N,N,N,N,N,Themis,0.67,5,Y,N,90,2.5,3.6667,134,269.5,1
